fid,id,left,top,right,bottom,row_index,col_index,tree_height_mean,tree_height_min,tree_height_max,biketrail_distance_mean,biketrail_distance_max,carroad_mean,carroad_max,horse_mean,horse_max,hiking_distance_mean,hiking_distance_max
"8704","30329",320433.2125,5610291.8086,320533.2125,5610191.8086,"82","142",27.9066499694824,0,47.1399841308594,269.658871099854,326.438354492188,411.751245281982,476.001037597656,24.0715183365822,67.416618347168,576.877637304687,640.1015625
"8705","30330",320433.2125,5610191.8086,320533.2125,5610091.8086,"83","142",25.6282621429443,0,45.9400329589844,355.963011672974,409.649841308594,319.410525799561,384.615386962891,90.5639345552444,156.080108642578,617.333206994629,683.927612304688
"8706","30331",320433.2125,5610091.8086,320533.2125,5609991.8086,"84","142",16.4766999664307,0,29.1399841308594,435.120800076294,501.722045898438,227.961448786926,293.342803955078,182.329797226715,246.856231689453,632.064908935547,693.0166015625
"8707","30332",320433.2125,5609991.8086,320533.2125,5609891.8086,"85","142",14.6427521453857,0,29.25,511.394825598145,576.550109863281,136.66935355835,201.955444335938,275.72053441925,338.374053955078,568.988531561279,637.822082519531
"8708","30333",320433.2125,5609891.8086,320533.2125,5609791.8086,"86","142",14.6487952545166,0,24.97998046875,591.240470544434,652.565734863281,46.4796030382752,111.35977935791,363.299408294678,428.228912353516,513.272265020752,580.18701171875
"8709","30334",320433.2125,5609791.8086,320533.2125,5609691.8086,"87","142",17.1132609283447,0,25.2999877929688,675.716420581055,734.006103515625,45.2036879599929,110.072700500488,409.164833685303,466.292816162109,472.386899334717,535.179382324219
"8710","30335",320433.2125,5609691.8086,320533.2125,5609591.8086,"88","142",17.9728906005859,0,27.7200317382812,759.076468066406,812.114501953125,134.558077919006,200.392120361328,433.899716345215,497.257476806641,450.389125692749,506.178833007812
"8711","30336",320433.2125,5609591.8086,320533.2125,5609491.8086,"89","142",17.7919420959473,0,30.5400390625,836.005990216064,894.438903808594,224.859927593994,290.723236083984,476.619278573608,543.783020019531,450.055977780151,505.588775634766
"8712","30337",320433.2125,5609491.8086,320533.2125,5609391.8086,"90","142",17.7295449707031,0,28.5900268554688,909.221508453369,979.906616210938,315.170574526978,381.057739257812,534.117908309937,603.075439453125,471.433363803101,534.059936523438
"8713","30338",320433.2125,5609391.8086,320533.2125,5609291.8086,"91","142",16.930706817627,0,29.6199951171875,981.136127661133,1050.67260742188,405.417375546265,471.393676757812,602.6465421875,671.965759277344,511.808987890625,578.636352539062
"8714","30339",320433.2125,5609291.8086,320533.2125,5609191.8086,"92","142",20.8032568847656,0,32.199951171875,1056.56604159546,1125.83874511719,495.487649163818,561.700988769531,678.764982727051,747.62158203125,567.14015607605,635.940246582031
"8715","30340",320433.2125,5609191.8086,320533.2125,5609091.8086,"93","142",11.2338909973145,0,34.9599914550781,1135.79452305908,1204.62145996094,585.435250872803,651.59033203125,760.409074835205,828.455200195312,633.493081903076,702.864135742188
"8716","30341",320433.2125,5609091.8086,320533.2125,5608991.8086,"94","142",21.1743779693603,0,39.6500244140625,1206.77168161621,1237.61865234375,675.388045574951,741.482299804688,846.000202624512,913.092529296875,707.704643121338,776.799865722656
"8717","30342",320433.2125,5608991.8086,320533.2125,5608891.8086,"95","142",17.2520209503174,0,39.3000183105469,1172.5317458252,1238.46765136719,765.345183551025,831.428283691406,934.399399578857,1000.56884765625,787.62041081543,856.047912597656
"8718","30343",320433.2125,5608891.8086,320533.2125,5608791.8086,"96","142",19.3194591003418,0,38.75,1099.21286203613,1168.88366699219,855.281929785156,921.392944335938,1024.83998424072,1090.09814453125,837.771616522217,886.772216796875
"8719","30344",320433.2125,5608791.8086,320533.2125,5608691.8086,"97","142",14.3882228973389,0,35.3200073242188,1029.84051572266,1099.41662597656,936.571696289063,1008.40716552734,1116.87062531738,1181.23413085938,766.869373052979,835.600402832031
"8720","30345",320433.2125,5608691.8086,320533.2125,5608591.8086,"98","142",14.7211238311768,0,29.9299926757812,964.663224041748,1033.93664550781,977.043710845947,1039.74084472656,1210.16311763916,1273.70092773438,688.312390917969,757.755249023438
"8721","30346",320433.2125,5608591.8086,320533.2125,5608491.8086,"99","142",17.3899031616211,0,31.510009765625,904.260143444824,972.909545898438,1008.07356599121,1070.62829589844,1304.43190489502,1367.22863769531,613.356104431152,682.756896972656
"8722","30347",320433.2125,5608491.8086,320533.2125,5608391.8086,"100","142",20.9953800201416,0,35.2200012207031,850.437670812988,917.68896484375,1042.81176359863,1107.3486328125,1399.47268325195,1461.61352539062,544.008327960205,613.068481445312
"8723","30348",320433.2125,5608391.8086,320533.2125,5608291.8086,"101","142",23.0966712799072,0,32.4199829101562,805.225343383789,870.402770996094,1084.64648287354,1151.05908203125,1495.13633391113,1556.64892578125,484.865092453003,552.4970703125
"8724","30349",320433.2125,5608291.8086,320533.2125,5608191.8086,"102","142",22.4450747680664,0,31.8900146484375,769.384253430176,832.106384277344,1133.50247479248,1201.30639648438,1590.94436942139,1652.2578125,429.406126516724,500.185974121094
"8725","30350",320433.2125,5608191.8086,320533.2125,5608091.8086,"103","142",20.0490598571777,0,34.22998046875,742.68882232666,801.8603515625,1188.75052587891,1257.51220703125,1686.20129912109,1748.35803222656,355.999462854004,424.901153564453
